id,tdegree_id,name
254,6,Master of Science in Supply Chain Management
255,6,Master of Science in Teaching
256,6,Master of Science in Taxation
257,6,Master of Social Science
258,6,Master of Social Work
259,6,Master of Statistics
260,6,Master of Strategic Studies
261,6,Master of Studies
262,6,Master of Surgery
263,6,Master of Theological Studies
264,6,Master of Technology
265,6,Master of Theology
266,6,Master of Urban Planning
267,6,Master of Veterinary Science
268,11,Associate Degree in Administration of Justice
269,11,Associate Degree in Advertising
270,11,Associate Degree in Agribusiness
271,11,Associate Degree in Animal Management
272,11,Associate Degree in Architectural Building Engineering Technology
273,11,Associate Degree in Architecture and Career Options
274,11,Associate Degree in Art
275,11,Associate Degree in Automotive Maintenance Technology
276,11,Associate Degree in Aviation Mechanics
277,11,Associate Degree in Behavioral Science
278,11,Associate Degree in Boat Mechanics
279,11,Associate Degree in Boat Repair and Maintenance
280,11,Associate Degree in Cabinet Design Technology
281,11,Associate Degree in Child Development: Program Summary
282,11,Associate Degree in Christian Ministry
283,11,Associate Degree in Cosmetology Business
284,11,Associate Degree in Digital Media
285,11,Associate Degree in Early Childhood Special Education
286,11,Associate Degree in Elementary Education
287,11,Associate Degree in English
288,11,Associate Degree in Environmental Science
289,11,Associate Degree in Environmental Studies
290,11,Associate Degree in General Psychology
291,11,Associate Degree in History and Information
292,11,Associate Degree in Interdisciplinary Studies
293,11,Associate Degree in International Relations
294,11,Associate Degree in Landscape Architecture
295,11,Associate Degree in Landscaping Design
296,11,Associate Degree in Library Science
297,11,Associate Degree in Music
298,11,Associate Degree in Wildlife Management
299,11,Associate Degree in Education
300,11,Associate of Applied Science (AAS) in Accelerated Culinary Arts
301,11,Associate of Applied Science (AAS) in Accounting Specialist
302,11,Associate of Applied Science (AAS) in Administrative Support
303,11,Associate of Applied Science (AAS) in Baking and Pastry
304,11,Associate of Applied Science (AAS) in Business Administration
305,11,Associate of Applied Science (AAS) in Business Administration - Finance
306,11,Associate of Applied Science (AAS) in Business Information Systems
307,11,Associate of Applied Science (AAS) in Civil Justice - Law Enforcement
308,11,Associate of Applied Science (AAS) in Clinical Medical Assisting
309,11,Associate of Applied Science (AAS) in Computer Applications
310,11,Associate of Applied Science (AAS) in Computer Electronics
311,11,Associate of Applied Science (AAS) in Computer Game Design
312,11,Associate of Applied Science (AAS) in Computer Information Systems
313,11,Associate of Applied Science (AAS) in Culinary Arts
314,11,Associate of Applied Science (AAS) in Digital Media Communications
315,11,Associate of Applied Science (AAS) in Digital Photography
316,11,Associate of Applied Science (AAS) in Electronic Engineering
317,11,Associate of Applied Science (AAS) in Emergency Medical Services
318,11,Associate of Applied Science (AAS) in Health Care Management
319,11,Associate of Applied Science (AAS) in Health Information Management
320,11,Associate of Applied Science (AAS) in Healthcare Administration
321,11,Associate of Applied Science (AAS) in Legal Office E-ministration
322,11,Associate of Applied Science (AAS) in Telecommunications Technology
323,11,Associate of Applied Science (AAS) in Television Production
324,11,Associate of Applied Science (AAS) in Visual Communications
325,11,Associate of Arts (AA) in Computer Information Systems
326,11,Associate of Arts (AA) in Internetworking Technology
327,11,Associate of Arts (AA) in Psychology
328,11,Associate of Arts (AA) in Interior Architecture and Design
329,11,Associate of Biotechnology
330,11,Associate of Business Science (ABS) in Individualized Studies
331,11,Associate of Early Childhood Education (AECE)
332,11,Associate of Occupational Studies (AOS) in Legal Office Administration
333,11,Associate of Science (AS) in Computer Information Science
334,11,Associate of Science (AS) in Computer Science
335,11,"Associate of Science (AS) in Corrections, Probation, & Parole"
336,11,Associate of Science (AS) in Electronics Engineering Technology
337,11,Associate of Science (AS) in Interactive & Graphic Art
